nqubit,H,nstate,p_anti,min_fp,n_valid
4,0.000,11,0.166459,1.4467,8.6689
4,0.000,14,0.153845,1.3622,8.8378
4,0.000,17,0.159259,1.4178,8.8978
4,0.000,22,0.164660,1.4644,8.8978
4,0.000,33,0.152747,1.3578,8.8978
4,0.000,56,0.127840,1.1378,8.8978
4,0.000,97,0.132932,1.1822,8.8978
4,0.000,168,0.131728,1.1756,8.8978
4,0.000,220,0.129167,1.1533,8.8978
4,0.250,11,0.166353,1.4133,8.3978
4,0.250,14,0.155146,1.3378,8.6133
4,0.250,17,0.160093,1.4244,8.8978
4,0.250,22,0.143642,1.2778,8.8978
4,0.250,33,0.148704,1.3244,8.8978
4,0.250,56,0.134475,1.1956,8.8978
4,0.250,97,0.126265,1.1267,8.8978
4,0.250,168,0.137253,1.2244,8.8978
4,0.250,220,0.132253,1.1778,8.8978
4,0.500,11,0.155154,1.2911,8.2800
4,0.500,14,0.150798,1.3378,8.8422
4,0.500,17,0.163395,1.4511,8.8978
4,0.500,22,0.154444,1.3756,8.8978
4,0.500,33,0.132747,1.1800,8.8978
4,0.500,56,0.140154,1.2489,8.8978
4,0.500,97,0.135000,1.2022,8.8978
4,0.500,168,0.135833,1.2089,8.8978
4,0.500,220,0.147006,1.3089,8.8978
4,0.625,11,0.160434,1.3533,8.3511
4,0.625,14,0.158272,1.4000,8.8178
4,0.625,17,0.163796,1.4578,8.8978
4,0.625,22,0.162531,1.4444,8.8978
4,0.625,33,0.159660,1.4222,8.8978
4,0.625,56,0.147500,1.3133,8.8978
4,0.625,97,0.133333,1.1867,8.8978
4,0.625,168,0.142994,1.2711,8.8978
4,0.625,220,0.151142,1.3444,8.8978
4,0.750,11,0.168827,1.4667,8.6778
4,0.750,14,0.159043,1.4156,8.8978
4,0.750,17,0.153981,1.3711,8.8978
4,0.750,22,0.166389,1.4800,8.8978
4,0.750,33,0.158210,1.4067,8.8978
4,0.750,56,0.137623,1.2244,8.8978
4,0.750,97,0.139136,1.2378,8.8978
4,0.750,168,0.136883,1.2178,8.8978
4,0.750,220,0.140432,1.2489,8.8978
4,0.875,11,0.147393,1.2467,8.3911
4,0.875,14,0.162531,1.4400,8.8378
4,0.875,17,0.164414,1.4667,8.8978
4,0.875,22,0.161142,1.4356,8.8978
4,0.875,33,0.144444,1.2889,8.8978
4,0.875,56,0.141914,1.2622,8.8978
4,0.875,97,0.135494,1.2089,8.8978
4,0.875,168,0.134568,1.1956,8.8978
4,0.875,220,0.151451,1.3489,8.8978
4,1.000,11,0.159373,1.3444,8.3622
4,1.000,14,0.160031,1.4200,8.8622
4,1.000,17,0.148179,1.3200,8.8978
4,1.000,22,0.159444,1.4178,8.8978
4,1.000,33,0.159259,1.4156,8.8978
4,1.000,56,0.147994,1.3178,8.8978
4,1.000,97,0.142130,1.2644,8.8978
4,1.000,168,0.149414,1.3289,8.8978
4,1.000,220,0.144877,1.2889,8.8978
6,0.000,23,0.167942,4.3444,26.2067
6,0.000,35,0.173558,5.3111,30.7289
6,0.000,46,0.172700,5.5333,32.1956
6,0.000,68,0.172986,5.6978,32.9533
6,0.000,118,0.156242,5.1489,32.9533
6,0.000,203,0.155955,5.1378,32.9533
6,0.000,350,0.155625,5.1289,32.9533
6,0.000,460,0.155865,5.1378,32.9533
6,0.250,23,0.206920,5.4333,26.4622
6,0.250,35,0.184559,5.5689,30.3000
6,0.250,46,0.184759,5.9356,32.1667
6,0.250,68,0.184038,6.0556,32.9156
6,0.250,118,0.178698,5.8822,32.9267
6,0.250,203,0.165320,5.4467,32.9533
6,0.250,350,0.167426,5.5178,32.9533
6,0.250,460,0.162370,5.3511,32.9533
6,0.500,23,0.243980,6.3556,26.0533
6,0.500,35,0.229005,6.7822,29.7067
6,0.500,46,0.205588,6.5489,31.8733
6,0.500,68,0.204774,6.6933,32.6867
6,0.500,118,0.185164,6.1022,32.9533
6,0.500,203,0.182915,6.0267,32.9533
6,0.500,350,0.181909,5.9933,32.9533
6,0.500,460,0.179341,5.9111,32.9533
6,0.625,23,0.249836,6.5711,26.2378
6,0.625,35,0.258147,7.6067,29.4533
6,0.625,46,0.242258,7.4667,30.8578
6,0.625,68,0.216565,6.9933,32.3156
6,0.625,118,0.205486,6.7711,32.9378
6,0.625,203,0.197713,6.5156,32.9533
6,0.625,350,0.188045,6.1978,32.9533
6,0.625,460,0.188836,6.2222,32.9533
6,0.750,23,0.257473,6.8689,26.6244
6,0.750,35,0.264209,7.6200,28.8422
6,0.750,46,0.265018,8.0556,30.3822
6,0.750,68,0.256443,8.1933,31.9556
6,0.750,118,0.213933,7.0489,32.9533
6,0.750,203,0.202462,6.6711,32.9533
6,0.750,350,0.200642,6.6133,32.9533
6,0.750,460,0.204705,6.7467,32.9533
6,0.875,23,0.257310,6.6533,25.7689
6,0.875,35,0.268767,7.7622,28.8533
6,0.875,46,0.271919,8.2000,30.1356
6,0.875,68,0.271045,8.6711,31.9667
6,0.875,118,0.237683,7.8267,32.9289
6,0.875,203,0.218043,7.1867,32.9533
6,0.875,350,0.210093,6.9244,32.9533
6,0.875,460,0.204215,6.7289,32.9533
6,1.000,23,0.260468,6.8578,26.2689
6,1.000,35,0.265539,7.6556,28.7756
6,1.000,46,0.274604,8.2689,30.0667
6,1.000,68,0.278483,8.7800,31.5178
6,1.000,118,0.273775,9.0133,32.9244
6,1.000,203,0.241357,7.9533,32.9533
6,1.000,350,0.236332,7.7889,32.9533
6,1.000,460,0.225208,7.4200,32.9533
8,0.000,52,0.188913,16.0800,88.0200
8,0.000,94,0.212858,24.1067,114.8600
8,0.000,228,0.181335,23.2033,127.9000
8,0.000,742,0.177364,22.8733,128.9633
8,0.250,52,0.214832,18.4767,87.3800
8,0.250,94,0.224442,25.6167,115.0167
8,0.250,228,0.217181,27.7900,128.0000
8,0.250,742,0.195275,25.1800,128.9500
8,0.500,52,0.256833,23.3300,91.9567
8,0.500,94,0.256536,29.5100,115.6733
8,0.500,228,0.260811,33.0933,126.9833
8,0.500,742,0.234515,30.2400,128.9533
8,0.625,52,0.279762,25.3233,91.0133
8,0.625,94,0.275572,31.6600,115.4300
8,0.625,228,0.266915,33.8433,126.8167
8,0.625,742,0.246725,31.8133,128.9433
8,0.750,52,0.303649,27.7400,91.5667
8,0.750,94,0.307058,35.0267,114.3667
8,0.750,228,0.297395,37.1933,125.1400
8,0.750,742,0.270375,34.8633,128.9433
8,0.875,52,0.343484,31.9333,92.9467
8,0.875,94,0.354114,36.7967,103.8833
8,0.875,228,0.363592,42.9933,118.2533
8,0.875,742,0.278075,35.7767,128.6400
8,1.000,52,0.348241,32.1700,92.3167
8,1.000,94,0.358743,37.1000,103.3933
8,1.000,228,0.366167,42.8467,116.9967
8,1.000,742,0.314797,40.2867,127.9633
