H,nstate,p_anti,min_fp,n_valid
0.00,15,0.158731,2.9300,18.4912
0.00,20,0.168902,3.8300,22.9612
0.00,25,0.184704,4.8937,26.6837
0.00,30,0.168917,4.8669,29.0269
0.00,40,0.173217,5.4669,31.6469
0.00,55,0.170843,5.5731,32.6569
0.00,70,0.166567,5.4888,32.9544
0.00,90,0.165134,5.4412,32.9544
0.00,120,0.157337,5.1844,32.9544
0.00,150,0.152966,5.0412,32.9544
0.00,180,0.151465,4.9925,32.9544
0.00,240,0.159124,5.2444,32.9544
0.00,300,0.156435,5.1537,32.9544
0.25,15,0.173341,3.1412,18.0337
0.25,20,0.202148,4.6969,23.1850
0.25,25,0.211574,5.6269,26.6775
0.25,30,0.198411,5.7044,28.9387
0.25,40,0.184044,5.7381,31.2806
0.25,55,0.181041,5.8681,32.4606
0.25,70,0.177007,5.8225,32.9006
0.25,90,0.176416,5.8131,32.9544
0.25,120,0.172522,5.6850,32.9544
0.25,150,0.170679,5.6244,32.9544
0.25,180,0.161745,5.3300,32.9544
0.25,240,0.164444,5.4194,32.9544
0.25,300,0.159828,5.2662,32.9544
0.50,15,0.195429,3.7356,18.8194
0.50,20,0.228903,5.5025,24.0044
0.50,25,0.237558,6.2844,26.4344
0.50,30,0.239699,6.7356,28.1275
0.50,40,0.230374,7.0406,30.6063
0.50,55,0.205332,6.6281,32.3113
0.50,70,0.197554,6.4650,32.7431
0.50,90,0.192161,6.3306,32.9544
0.50,120,0.185563,6.1144,32.9544
0.50,150,0.183784,6.0556,32.9544
0.50,180,0.180290,5.9419,32.9544
0.50,240,0.179511,5.9150,32.9544
0.50,300,0.183622,6.0506,32.9544
0.75,15,0.218629,4.4363,19.8969
0.75,20,0.246966,6.0125,24.2025
0.75,25,0.255827,6.8150,26.5819
0.75,30,0.259987,7.2812,27.9719
0.75,40,0.260312,7.6537,29.3938
0.75,55,0.266647,8.2837,31.0663
0.75,70,0.263313,8.4200,31.9737
0.75,90,0.224150,7.3531,32.8062
0.75,120,0.203276,6.6981,32.9544
0.75,150,0.207925,6.8525,32.9544
0.75,180,0.198725,6.5481,32.9544
0.75,240,0.196638,6.4800,32.9544
0.75,300,0.197747,6.5169,32.9544
1.00,15,0.223917,4.5694,19.9875
1.00,20,0.250720,6.1263,24.3081
1.00,25,0.259044,6.8075,26.1681
1.00,30,0.265558,7.3881,27.7613
1.00,40,0.270524,7.9344,29.3031
1.00,55,0.273926,8.4669,30.8869
1.00,70,0.273508,8.6900,31.7631
1.00,90,0.278263,9.0306,32.4512
1.00,120,0.273596,9.0144,32.9475
1.00,150,0.264963,8.7319,32.9544
1.00,180,0.239466,7.8913,32.9544
1.00,240,0.233133,7.6825,32.9544
1.00,300,0.228351,7.5256,32.9544
